"Step","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed - test_accuracy","Squeeze-and-Excitation Unfreezed - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed - test_accuracy__MAX","Add-New-Block Unfreezed WDA - test_accuracy","Add-New-Block Unfreezed WDA - test_accuracy__MIN","Add-New-Block Unfreezed WDA - test_accuracy__MAX","Remove-2-Blocks Unfreezed WDA - test_accuracy","Remove-2-Blocks Unfreezed WDA - test_accuracy__MIN","Remove-2-Blocks Unfreezed WDA - test_accuracy__MAX","Remove-1-Block Unfreezed WDA - test_accuracy","Remove-1-Block Unfreezed WDA - test_accuracy__MIN","Remove-1-Block Unfreezed WDA - test_accuracy__MAX","Add-New-Block Unfreezed - test_accuracy","Add-New-Block Unfreezed - test_accuracy__MIN","Add-New-Block Unfreezed - test_accuracy__MAX","Remove-2-Blocks Unfreezed - test_accuracy","Remove-2-Blocks Unfreezed - test_accuracy__MIN","Remove-2-Blocks Unfreezed - test_accuracy__MAX","Remove-1-Block Unfreezed - test_accuracy","Remove-1-Block Unfreezed - test_accuracy__MIN","Remove-1-Block Unfreezed - test_accuracy__MAX"
"46","","","","","","","","","","0.8754370629370629","0.8754370629370629","0.8754370629370629","0.9138986013986014","0.9138986013986014","0.9138986013986014","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.8920454545454546","0.8920454545454546","0.8920454545454546","0.9243881118881119","0.9243881118881119","0.9243881118881119"
"47","","","","","","","","","","0.8645104895104895","0.8645104895104895","0.8645104895104895","","","","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.8784965034965035","0.8784965034965035","0.8784965034965035","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"48","","","","","","","","","","0.9016608391608392","0.9016608391608392","0.9016608391608392","","","","0.9326923076923077","0.9326923076923077","0.9326923076923077","0.8868006993006993","0.8868006993006993","0.8868006993006993","0.9208916083916084","0.9208916083916084","0.9208916083916084"
"49","","","","","","","","","","0.8907342657342657","0.8907342657342657","0.8907342657342657","","","","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.8811188811188811","0.8811188811188811","0.8811188811188811","0.9042832167832168","0.9042832167832168","0.9042832167832168"
"50","","","","","","","","","","0.8920454545454546","0.8920454545454546","0.8920454545454546","","","","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.8850524475524476","0.8850524475524476","0.8850524475524476","0.9187062937062938","0.9187062937062938","0.9187062937062938"
"51","","","","","","","","","","0.8977272727272727","0.8977272727272727","0.8977272727272727","","","","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.8837412587412588","0.8837412587412588","0.8837412587412588","0.9243881118881119","0.9243881118881119","0.9243881118881119"
"52","","","","","","","","","","0.8959790209790209","0.8959790209790209","0.8959790209790209","","","","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8592657342657343","0.8592657342657343","0.8592657342657343","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"53","","","","","","","","","","","","","","","","0.9396853146853147","0.9396853146853147","0.9396853146853147","0.8837412587412588","0.8837412587412588","0.8837412587412588","0.9243881118881119","0.9243881118881119","0.9243881118881119"
"54","","","","","","","","","","","","","","","","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.8618881118881119","0.8618881118881119","0.8618881118881119","0.9287587412587412","0.9287587412587412","0.9287587412587412"
"55","","","","","","","","","","","","","","","","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.8631993006993007","0.8631993006993007","0.8631993006993007","0.9326923076923077","0.9326923076923077","0.9326923076923077"
"56","","","","","","","","","","","","","","","","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.8509615384615384","0.8509615384615384","0.8509615384615384","0.9326923076923077","0.9326923076923077","0.9326923076923077"
"57","","","","","","","","","","","","","","","","0.944493006993007","0.944493006993007","0.944493006993007","0.8806818181818182","0.8806818181818182","0.8806818181818182","0.9296328671328671","0.9296328671328671","0.9296328671328671"
"58","","","","","","","","","","","","","","","","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.8789335664335665","0.8789335664335665","0.8789335664335665","0.9326923076923077","0.9326923076923077","0.9326923076923077"
"59","","","","","","","","","","","","","","","","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.8854895104895105","0.8854895104895105","0.8854895104895105","0.9313811188811189","0.9313811188811189","0.9313811188811189"
"60","","","","","","","","","","","","","","","","0.9449300699300699","0.9449300699300699","0.9449300699300699","0.8741258741258742","0.8741258741258742","0.8741258741258742","0.923513986013986","0.923513986013986","0.923513986013986"
"61","","","","","","","","","","","","","","","","0.9047202797202797","0.9047202797202797","0.9047202797202797","0.8824300699300699","0.8824300699300699","0.8824300699300699","0.9252622377622378","0.9252622377622378","0.9252622377622378"
"62","","","","","","","","","","","","","","","","0.9248251748251748","0.9248251748251748","0.9248251748251748","0.888548951048951","0.888548951048951","0.888548951048951","0.9296328671328671","0.9296328671328671","0.9296328671328671"
"63","","","","","","","","","","","","","","","","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.8780594405594405","0.8780594405594405","0.8780594405594405","0.9309440559440559","0.9309440559440559","0.9309440559440559"
"64","","","","","","","","","","","","","","","","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.8780594405594405","0.8780594405594405","0.8780594405594405","0.930506993006993","0.930506993006993","0.930506993006993"
"65","","","","","","","","","","","","","","","","0.9353146853146853","0.9353146853146853","0.9353146853146853","0.8715034965034965","0.8715034965034965","0.8715034965034965","0.8994755244755245","0.8994755244755245","0.8994755244755245"
"66","","","","","","","","","","","","","","","","0.9357517482517482","0.9357517482517482","0.9357517482517482","0.8597027972027972","0.8597027972027972","0.8597027972027972","0.9143356643356644","0.9143356643356644","0.9143356643356644"
