"Step","LeNet - test_accuracy","LeNet - test_accuracy__MIN","LeNet - test_accuracy__MAX","LeNet - train_accuracy","LeNet - train_accuracy__MIN","LeNet - train_accuracy__MAX"
"60","0.2840909090909091","0.2840909090909091","0.2840909090909091","0.27195402298850574","0.27195402298850574","0.27195402298850574"
"61","0.2840909090909091","0.2840909090909091","0.2840909090909091","0.2750574712643678","0.2750574712643678","0.2750574712643678"
"62","0.2809090909090909","0.2809090909090909","0.2809090909090909","0.2691954022988506","0.2691954022988506","0.2691954022988506"
"63","0.2718181818181818","0.2718181818181818","0.2718181818181818","0.27057471264367816","0.27057471264367816","0.27057471264367816"
"64","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.27057471264367816","0.27057471264367816","0.27057471264367816"
"65","0.27954545454545454","0.27954545454545454","0.27954545454545454","0.27298850574712646","0.27298850574712646","0.27298850574712646"
"66","0.2831818181818182","0.2831818181818182","0.2831818181818182","0.27655172413793105","0.27655172413793105","0.27655172413793105"
"67","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.2751724137931034","0.2751724137931034","0.2751724137931034"
"68","0.2859090909090909","0.2859090909090909","0.2859090909090909","0.28206896551724137","0.28206896551724137","0.28206896551724137"
"69","0.2781818181818182","0.2781818181818182","0.2781818181818182","0.27609195402298853","0.27609195402298853","0.27609195402298853"
"70","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.2813793103448276","0.2813793103448276","0.2813793103448276"
"71","0.2772727272727273","0.2772727272727273","0.2772727272727273","0.27873563218390807","0.27873563218390807","0.27873563218390807"
"72","0.2868181818181818","0.2868181818181818","0.2868181818181818","0.2832183908045977","0.2832183908045977","0.2832183908045977"
"73","0.2822727272727273","0.2822727272727273","0.2822727272727273","0.2775862068965517","0.2775862068965517","0.2775862068965517"
"74","0.28454545454545455","0.28454545454545455","0.28454545454545455","0.27816091954022987","0.27816091954022987","0.27816091954022987"
"75","0.27090909090909093","0.27090909090909093","0.27090909090909093","0.2847126436781609","0.2847126436781609","0.2847126436781609"
"76","0.28454545454545455","0.28454545454545455","0.28454545454545455","0.2849425287356322","0.2849425287356322","0.2849425287356322"
"77","0.2781818181818182","0.2781818181818182","0.2781818181818182","0.2775862068965517","0.2775862068965517","0.2775862068965517"
"78","0.28136363636363637","0.28136363636363637","0.28136363636363637","0.28344827586206894","0.28344827586206894","0.28344827586206894"
"79","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.27988505747126435","0.27988505747126435","0.27988505747126435"
"80","0.285","0.285","0.285","0.2864367816091954","0.2864367816091954","0.2864367816091954"
"81","0.2922727272727273","0.2922727272727273","0.2922727272727273","0.2864367816091954","0.2864367816091954","0.2864367816091954"
"82","0.2786363636363636","0.2786363636363636","0.2786363636363636","0.2868965517241379","0.2868965517241379","0.2868965517241379"
"83","0.2859090909090909","0.2859090909090909","0.2859090909090909","0.28758620689655173","0.28758620689655173","0.28758620689655173"
"84","0.2768181818181818","0.2768181818181818","0.2768181818181818","0.2827586206896552","0.2827586206896552","0.2827586206896552"
"85","0.2909090909090909","0.2909090909090909","0.2909090909090909","0.28908045977011493","0.28908045977011493","0.28908045977011493"
"86","0.29","0.29","0.29","0.29","0.29","0.29"
"87","0.29","0.29","0.29","0.29229885057471267","0.29229885057471267","0.29229885057471267"
"88","0.2768181818181818","0.2768181818181818","0.2768181818181818","0.28218390804597704","0.28218390804597704","0.28218390804597704"
"89","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.28597701149425286","0.28597701149425286","0.28597701149425286"
"90","0.28","0.28","0.28","0.2942528735632184","0.2942528735632184","0.2942528735632184"
"91","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.2889655172413793","0.2889655172413793","0.2889655172413793"
"92","0.27636363636363637","0.27636363636363637","0.27636363636363637","0.29195402298850576","0.29195402298850576","0.29195402298850576"
"93","0.29","0.29","0.29","0.29091954022988503","0.29091954022988503","0.29091954022988503"
"94","0.2818181818181818","0.2818181818181818","0.2818181818181818","0.29091954022988503","0.29091954022988503","0.29091954022988503"
"95","0.2690909090909091","0.2690909090909091","0.2690909090909091","0.28954022988505745","0.28954022988505745","0.28954022988505745"
"96","0.2822727272727273","0.2822727272727273","0.2822727272727273","0.2893103448275862","0.2893103448275862","0.2893103448275862"
"97","0.2772727272727273","0.2772727272727273","0.2772727272727273","0.29195402298850576","0.29195402298850576","0.29195402298850576"
"98","0.2809090909090909","0.2809090909090909","0.2809090909090909","0.2906896551724138","0.2906896551724138","0.2906896551724138"
"99","0.2827272727272727","0.2827272727272727","0.2827272727272727","0.3002298850574713","0.3002298850574713","0.3002298850574713"
