"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"130","0.6359265446662903","0.6359265446662903","0.6359265446662903","260","260","260"
"131","0.6206293702125549","0.6206293702125549","0.6206293702125549","262","262","262"
"132","0.6569055914878845","0.6569055914878845","0.6569055914878845","264","264","264"
"133","0.6722028255462646","0.6722028255462646","0.6722028255462646","266","266","266"
"134","0.6787587404251099","0.6787587404251099","0.6787587404251099","268","268","268"
"135","0.6988636255264282","0.6988636255264282","0.6988636255264282","270","270","270"
"136","0.7006118893623352","0.7006118893623352","0.7006118893623352","272","272","272"
"137","0.5957167744636536","0.5957167744636536","0.5957167744636536","274","274","274"
"138","0.6678321957588196","0.6678321957588196","0.6678321957588196","276","276","276"
"139","0.7097902297973633","0.7097902297973633","0.7097902297973633","278","278","278"
"140","0.682692289352417","0.682692289352417","0.682692289352417","280","280","280"
"141","0.7233391404151917","0.7233391404151917","0.7233391404151917","282","282","282"
"142","0.7041084170341492","0.7041084170341492","0.7041084170341492","284","284","284"
"143","0.6761363744735718","0.6761363744735718","0.6761363744735718","286","286","286"
"144","0.5677447319030762","0.5677447319030762","0.5677447319030762","288","288","288"
"145","0.6700174808502197","0.6700174808502197","0.6700174808502197","290","290","290"
"146","0.7093531489372253","0.7093531489372253","0.7093531489372253","292","292","292"
"147","0.6529720425605774","0.6529720425605774","0.6529720425605774","294","294","294"
"148","0.7211538553237915","0.7211538553237915","0.7211538553237915","296","296","296"
"149","0.7124125957489014","0.7124125957489014","0.7124125957489014","298","298","298"
"150","0.6949300765991211","0.6949300765991211","0.6949300765991211","300","300","300"
"151","0.6599650382995605","0.6599650382995605","0.6599650382995605","302","302","302"
"152","0.6962412595748901","0.6962412595748901","0.6962412595748901","304","304","304"
"153","0.690996527671814","0.690996527671814","0.690996527671814","306","306","306"
"154","0.7255244851112366","0.7255244851112366","0.7255244851112366","308","308","308"
"155","0.6197552680969238","0.6197552680969238","0.6197552680969238","310","310","310"
"156","0.6350524425506592","0.6350524425506592","0.6350524425506592","312","312","312"
"157","0.7215909361839294","0.7215909361839294","0.7215909361839294","314","314","314"
"158","0.7154720425605774","0.7154720425605774","0.7154720425605774","316","316","316"
"159","0.7145978808403015","0.7145978808403015","0.7145978808403015","318","318","318"
"160","0.6599650382995605","0.6599650382995605","0.6599650382995605","320","320","320"
"161","0.7207167744636536","0.7207167744636536","0.7207167744636536","322","322","322"
"162","0.6717657446861267","0.6717657446861267","0.6717657446861267","324","324","324"
"163","0.6883741021156311","0.6883741021156311","0.6883741021156311","326","326","326"
"164","0.6783216595649719","0.6783216595649719","0.6783216595649719","328","328","328"
"165","0.6783216595649719","0.6783216595649719","0.6783216595649719","330","330","330"
"166","0.7342657446861267","0.7342657446861267","0.7342657446861267","332","332","332"
"167","0.7128496766090393","0.7128496766090393","0.7128496766090393","334","334","334"
"168","0.7167832255363464","0.7167832255363464","0.7167832255363464","336","336","336"
